group	target	query	baseline_result	a3_result	source_reference_classes	rationale
corpus	boxed_bool__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_bool__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_char__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_char__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_f32__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_f32__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_f64__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_f64__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_i128__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_i128__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
