group	target	graph_sha256	schema	entry	nodes	reachable_nodes	unreachable_nodes	edges	variables	allocations	graph_validation	identity_sidecar	allocator_mismatch_ub	allocator_mismatch_ub_v2	double_free_alloc	double_free_alloc_state	leak_alloc	leak_alloc_state	mir_rvalue_presence	mir_statement_presence	mir_structural_allocator_example	mir_terminator_presence	use_after_free_alloc	use_after_free_alloc_state
corpus	boxed_bool__df	27a89ba7e25ee013171764c4fae5b827115b952a65c26b4f0cfe1f34a8b06f33	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_bool__ml	c0969a7f753e962eb57043885362bb6c491217b47cfd1e55d0987054c00cc563	2	rust::main::bb0	10	10	0	13	18	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_bool__uaf	1ebf929837784ade29fcf646cb3e1355fe8ec62d95d4e1b4cc483d7c85dabf40	2	rust::main::bb0	15	15	0	23	35	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_char__df	9cb3d84eede1c86b9588a4f4bb3b9aef029e139ff6eafc285c5fcf2a99f7f2fa	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_char__ml	e17d6689b7a698c86b2533e1cc070d16ba107e36c89be4e149fac097453723bc	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_char__uaf	6e83e95d80d96b6d0f2b4f821cd8317271b04a8096c0d998ce7938ced80e2fc3	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_f32__df	2777f6424499d61d024b36bdf8e1ab4eab0edef1ac076ffec0ef853cf4078684	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f32__ml	db59fcfaf44bdfa9000d343f6d0e4da2181f35b64b40d7382d2de41e94baccda	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f32__uaf	6ea80fd7766763a55f8095ba685cfecc4189c99f44f5efbfbcdd7d2f93b87897	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_f64__df	f0362e4468a0858a366434f97c1c364ca8566c37f0ef19b951cd1bed6fe47904	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f64__ml	d70505bb7c64981d39c02651b0309370086030888c08aa73f00443c8af8fbe06	2	rust::main::bb0	10	10	0	13	18	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f64__uaf	65305dace8462cc63cdd19ef623a259a8965fd1287194edf6d7a9fe701b0c17a	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i128__df	6fc8029f7831df5bf0172505bad15553f4d7d6d7c20bc93bda5ebe79493ce67d	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i128__ml	27b9874a434c823dbd33b6ed6b981bfc42731fb0a2ab1aa8b04dadf2175618b2	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i128__uaf	2682c964432d078d5d999c8e2b3d8519cbf39f3a515974770ba6d50250e583ea	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i16__df	adf464910b039fe3408f10b7b0606a6bf78af2e70c62bbb731d9a28046c0549a	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i16__ml	90df108745412d6d6de97991efc7b88c534298c0285568cacf55ed087059846f	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i16__uaf	7a54e66ea6b055bd9555f17d6266b2bb897d8c58f63eceb33eaa50118ec05cb9	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i32__df	06817eac4c1ae82f034a03b52cfad235974a39e803bd8b29efa39a5a3b0454de	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i32__ml	565a5d03e84a4d890decd5df49b45f06768f611025d96f301534f96769870c41	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i32__uaf	d6ddb34119e0c43814c26c1bac77759c4ec0231403e28479f0bd08a7eea7c7fe	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i64__df	d18e63223ea9a15024ea9a8ec33a6dc64e47a0a4415037ebfe0cc8e300117e99	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i64__ml	48b8369a3dde6242fefed6754f250a0af897d83815212ddf95bc51f9f2b061f9	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i64__uaf	d7b6dd816f918dceb5f51dd3f6a4b952581653d40766164884e267dbfabc6439	2	rust::main::bb0	16	16	0	24	45	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i8__df	8bd6c78956259a99370c81e77ed785d486e165184bdb15c2772bd52f6eb7010c	2	rust::main::bb0	15	15	0	23	24	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i8__ml	a668fec3c4107e865e6e78a11e1ad9ee59eb03c98875765ffbb17e49b6945ff1	2	rust::main::bb0	10	10	0	13	20	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i8__uaf	7ce23d2810a9aba887bc50fee638ad819f22e9af9285992349a7a0475e013b0c	2	rust::main::bb0	15	15	0	23	35	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
