group	target	artifact	typed_edge_flow_v1	llvm_memory_effects_v1	svf_solved_points_to_v1	ffi_argument_identity_v1	external_deallocation_effects_v1	allocation_state_v1	typed_edges	normal_edges	unwind_edges
corpus	boxed_bool__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_bool__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_bool__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_bool__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_bool__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_bool__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_char__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_char__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_char__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_char__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_char__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_char__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	24	14	10
corpus	boxed_f32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_f32__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_f32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_f32__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_f32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_f32__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	24	14	10
corpus	boxed_f64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_f64__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_f64__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_f64__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_f64__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_f64__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	24	14	10
corpus	boxed_i128__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	24	14	10
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	24	14	10
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	1	0	0	0	1	1	23	13	10
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	1	0	0	0	1	1	13	8	5
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	1	0	0	0	1	1	24	14	10
