group	target	query	r2_truth	stripped_truth	truth_same	assessment_same
corpus	boxed_bool__df	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_bool__df	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_bool__df	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_bool__df	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_bool__df	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_bool__df	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_bool__df	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_bool__df	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_bool__df	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_bool__df	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_bool__df	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_bool__df	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_bool__ml	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_bool__ml	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_bool__ml	double_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_bool__ml	double_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_bool__ml	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_bool__ml	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_bool__ml	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_bool__ml	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_bool__ml	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_bool__ml	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_bool__ml	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_bool__ml	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_bool__uaf	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_bool__uaf	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_bool__uaf	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_bool__uaf	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_bool__uaf	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_bool__uaf	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_bool__uaf	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_bool__uaf	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_bool__uaf	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_bool__uaf	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_bool__uaf	use_after_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_bool__uaf	use_after_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_char__df	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_char__df	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_char__df	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_char__df	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_char__df	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_char__df	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_char__df	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_char__df	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_char__df	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_char__df	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_char__df	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_char__df	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_char__ml	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_char__ml	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_char__ml	double_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_char__ml	double_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_char__ml	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_char__ml	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_char__ml	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_char__ml	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_char__ml	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_char__ml	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_char__ml	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_char__ml	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_char__uaf	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_char__uaf	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_char__uaf	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_char__uaf	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_char__uaf	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_char__uaf	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_char__uaf	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_char__uaf	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_char__uaf	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_char__uaf	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_char__uaf	use_after_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_char__uaf	use_after_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f32__df	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_f32__df	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_f32__df	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_f32__df	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f32__df	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_f32__df	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f32__df	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_f32__df	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_f32__df	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_f32__df	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_f32__df	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_f32__df	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_f32__ml	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_f32__ml	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_f32__ml	double_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_f32__ml	double_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_f32__ml	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_f32__ml	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f32__ml	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_f32__ml	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_f32__ml	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_f32__ml	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_f32__ml	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_f32__ml	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_f32__uaf	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_f32__uaf	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_f32__uaf	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_f32__uaf	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f32__uaf	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_f32__uaf	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f32__uaf	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_f32__uaf	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_f32__uaf	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_f32__uaf	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_f32__uaf	use_after_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_f32__uaf	use_after_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f64__df	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_f64__df	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_f64__df	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_f64__df	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f64__df	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_f64__df	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f64__df	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_f64__df	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_f64__df	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_f64__df	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_f64__df	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_f64__df	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_f64__ml	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_f64__ml	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_f64__ml	double_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_f64__ml	double_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_f64__ml	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_f64__ml	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f64__ml	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_f64__ml	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_f64__ml	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_f64__ml	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_f64__ml	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_f64__ml	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_f64__uaf	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_f64__uaf	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_f64__uaf	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_f64__uaf	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f64__uaf	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_f64__uaf	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_f64__uaf	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_f64__uaf	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_f64__uaf	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_f64__uaf	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_f64__uaf	use_after_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_f64__uaf	use_after_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i128__df	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i128__df	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i128__df	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_i128__df	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i128__df	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i128__df	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i128__df	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i128__df	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i128__df	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i128__df	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_i128__df	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i128__df	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i128__ml	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i128__ml	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i128__ml	double_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i128__ml	double_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i128__ml	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i128__ml	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i128__ml	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i128__ml	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i128__ml	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i128__ml	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_i128__ml	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i128__ml	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i128__uaf	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i128__uaf	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i128__uaf	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_i128__uaf	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i128__uaf	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i128__uaf	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i128__uaf	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i128__uaf	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i128__uaf	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i128__uaf	mir_terminator_presence.cqpl	tt	tt	True	True
