group	target	allocator_mismatch_ub	allocator_mismatch_ub_v2	double_free_alloc	double_free_alloc_state	leak_alloc	leak_alloc_state	mir_rvalue_presence	mir_statement_presence	mir_structural_allocator_example	mir_terminator_presence	use_after_free_alloc	use_after_free_alloc_state
corpus	boxed_bool__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_bool__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_bool__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_char__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_char__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_char__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_f32__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f32__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f32__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_f64__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f64__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_f64__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i128__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i128__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i128__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i16__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i16__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i16__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i32__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i32__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i32__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i64__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i64__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i64__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i8__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i8__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i8__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_isize__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_isize__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_isize__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u128__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u128__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u128__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u16__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u16__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u16__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u32__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u32__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u32__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u64__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u64__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u64__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u8__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u8__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u8__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_usize__df	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_usize__ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_usize__uaf	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	branch_df_mem_leak_ffi	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	c-callback-rust-closure	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	c_calloc_leak_ml	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	clean_alloc_read_and_drop	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	clean_cstring_no_errors_only_rust	unk	unk	ff	ff	unk	unk	ff	ff	ff	tt	ff	ff
corpus	clean_into_from_raw	ff	ff	ff	ff	unk	unk	tt	tt	ff	tt	ff	ff
corpus	clean_mul_fn_ffi_no_errors	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
