key	group	target	entry_point	exit_code
boxed_bool__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_bool		0
boxed_char__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_char		0
boxed_f32__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_f32		0
boxed_f64__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_f64		0
boxed_i128__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_i128		0
boxed_i16__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_i16		0
boxed_i32__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_i32		0
boxed_i64__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_i64		0
boxed_i8__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_i8		0
boxed_isize__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_isize		0
boxed_u128__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_u128		0
boxed_u16__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_u16		0
boxed_u32__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_u32		0
boxed_u64__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_u64		0
boxed_u8__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_u8		0
boxed_usize__df	literals_df	a-code_full_rust/a-double_free_full_rust_literals/boxed_usize		0
boxed_bool__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_bool		0
boxed_char__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_char		0
boxed_f32__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_f32		0
boxed_f64__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_f64		0
boxed_i128__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_i128		0
boxed_i16__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_i16		0
boxed_i32__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_i32		0
boxed_i64__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_i64		0
boxed_i8__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_i8		0
boxed_isize__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_isize		0
boxed_u128__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_u128		0
boxed_u16__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_u16		0
boxed_u32__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_u32		0
boxed_u64__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_u64		0
boxed_u8__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_u8		0
boxed_usize__ml	literals_ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_usize		0
boxed_bool__uaf	literals_uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_bool		0
boxed_char__uaf	literals_uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_char		0
boxed_f32__uaf	literals_uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_f32		0
boxed_f64__uaf	literals_uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_f64		0
boxed_i128__uaf	literals_uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_i128		0
boxed_i16__uaf	literals_uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_i16		0
boxed_i32__uaf	literals_uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_i32		0
